sample_id,stored_route_path,route_file_sha256,route_size_bytes,vehicle_structure,vehicle_family,identity_evidence,vehicle_profile_id,vehicle_profile_fingerprint,vehicle_evidence_match_count,map,label_status,hard_certificate_passed,hard_failure_reasons,comparison_status,comparison_method,build_family,report_file_sha256,report_evidence_status,point_count,route_length_m,policy_id,selection_coverage
PG-SHANYU000-dd3d1bbf19b7d0f8,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-dd3d1bbf19b7d0f8__mounarea_3__five_axis.npz,dd3d1bbf19b7d0f8f34631f94f79009d1bbd963498c7dd3b014f0506a1c89866,1105564,five_axis_explicit,five_axis,explicit_profile_id,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,45,mounarea_3,labeled,0,"[""closed_loop_pcd_clearance"", ""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,five_axis_generator_builds,27dcf382045838040f34e0fe8a242c552d0d2004d5bb8359b40fe14cc4058719,verified_hash_only_not_uploaded,7955,1692.405359817149,,failure:closed_loop_pcd_clearance;failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:mounarea_3;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-3eb406eba77b6377,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-3eb406eba77b6377__mounarea_6__five_axis.npz,3eb406eba77b6377da2cd9cfe753bbf8310bdfbbe5702a07af641a2127be5182,733975,five_axis_explicit,five_axis,explicit_profile_id,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,45,mounarea_6,labeled,0,"[""closed_loop_heightmap_footprint"", ""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,five_axis_generator_builds,e0f65dceca9330a49fe4da38159fc4addc2c1b4c36dca54199b5e6b9fa3b5500,verified_hash_only_not_uploaded,5424,1194.618940794468,,failure:closed_loop_heightmap_footprint;failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:mounarea_6;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-1266a7e4ee68b5c8,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-1266a7e4ee68b5c8__narrow_1__six_axis.npz,1266a7e4ee68b5c8ce3fe606adc85c974eec8c17b045bfeac43fc33a864e8074,33429,six_axis_structural,six_axis,steer_vector_dimension,,,0,narrow_1,labeled,1,[],confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,_runs,eecbb088e7c9fe8c555e272a96f1135da2340bad8bbb9f628f2c4321042ec0ed,verified_hash_only_not_uploaded,251,49.94271762522252,,map:narrow_1;outcome:passed;status:confirmed_new_labeled;structure:six_axis_structural
PG-SHANYU000-01ceb4d030f51a16,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-01ceb4d030f51a16__narrow_4__five_axis.npz,01ceb4d030f51a16958b5ef781e78538e8d5f7d20d5443d4c36e4728a46c573a,136925,five_axis_explicit,five_axis,explicit_profile_id,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,45,narrow_4,labeled,0,"[""maximum_tire_utilization""]",baseline_existing,exact_route_file_sha256_vs_baseline_v1_359,five_axis_generator_builds,b63719731d0365bf7dec06eca8a4e0d89a5db3c41f8def00b61da4d7f3224683,verified_hash_only_not_uploaded,1148,228.00476728357913,,failure:maximum_tire_utilization;map:narrow_4;status:baseline_existing;structure:five_axis_explicit
PG-SHANYU000-364301c2a9eabef2,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-364301c2a9eabef2__overpass_1__five_axis.npz,364301c2a9eabef2be52e3a623144cdad87454f93e9c75541523b9cc885d0e90,1436504,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,overpass_1,labeled,0,"[""closed_loop_pcd_clearance"", ""closed_loop_txt_clearance"", ""maximum_slip_ratio""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,6ce0ceb03acc23e4e578e3f539341036d1fc501bd1556fffd2561d21419055e4,verified_hash_only_not_uploaded,10278,2056.0917982759875,,failure:closed_loop_pcd_clearance;failure:closed_loop_txt_clearance;failure:maximum_slip_ratio;map:overpass_1;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-87c700de4d844f0d,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-87c700de4d844f0d__overpass_2__five_axis.npz,87c700de4d844f0dab98a8264f1c27e01d3cbe3aa573d02faf802f79177ca94f,1805193,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,overpass_2,labeled,0,"[""closed_loop_heightmap_footprint"", ""closed_loop_pcd_clearance"", ""closed_loop_txt_clearance"", ""maximum_slip_ratio""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,a63f6182013684034766b9fa8c3a6a72c418b4be0daade61efa8c7971c88a7b4,verified_hash_only_not_uploaded,12688,2557.5983585764516,,failure:closed_loop_heightmap_footprint;failure:closed_loop_pcd_clearance;failure:closed_loop_txt_clearance;failure:maximum_slip_ratio;map:overpass_2;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-5dfc4fa9d2ac2c08,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-5dfc4fa9d2ac2c08__ramp_1__five_axis.npz,5dfc4fa9d2ac2c08a7ffd6121909433816c58d9b5aa2da520ea3db4b47de5d9a,578250,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,ramp_1,labeled,0,"[""closed_loop_pcd_clearance"", ""closed_loop_txt_clearance""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,f113d0d008c1b855ddd416a10596e017d263682d33caf934d8644a597cb6c0dc,verified_hash_only_not_uploaded,4296,858.58510674328,,failure:closed_loop_pcd_clearance;failure:closed_loop_txt_clearance;map:ramp_1;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-e92ab34ca50f7ab5,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-e92ab34ca50f7ab5__ramp_2__five_axis.npz,e92ab34ca50f7ab53e5a2afc6590e90a085bff4ed9a57ac1640d897e60d240df,824996,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,ramp_2,labeled,0,"[""closed_loop_pcd_clearance"", ""closed_loop_txt_clearance""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,8259d901eb0ab532eaa59b8f081eaca4d9aa3d717ae29817790b081af3a0b053,verified_hash_only_not_uploaded,5847,1169.277248680506,,failure:closed_loop_pcd_clearance;failure:closed_loop_txt_clearance;map:ramp_2;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-f7a671e269ae4228,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-f7a671e269ae4228__ramp_3__five_axis.npz,f7a671e269ae4228f217fa1ed15f745e9e19e61fa617d641e6bac197357cf9d6,797967,five_axis_explicit,five_axis,explicit_profile_id,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,45,ramp_3,labeled,0,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,five_axis_generator_builds,2d4e5453ed27f1d33e60298d1b27f2ec25b8e84bd9da48b9333270a287a1f630,verified_hash_only_not_uploaded,5941,1186.018923797658,,failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:ramp_3;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-96eea82316d669ce,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-96eea82316d669ce__ramp_6__five_axis.npz,96eea82316d669ce7e25f625e7527734226476fed12e79de10945018cff32cd3,991068,five_axis_explicit,five_axis,explicit_profile_id,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,45,ramp_6,labeled,0,"[""maximum_slip_ratio"", ""maximum_tire_utilization"", ""route_not_completed""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,five_axis_generator_builds,dc9eca1b9d454cd5f321a4c495d3a8b2cda174315671a727f609908d8f0fe04d,verified_hash_only_not_uploaded,6734,1344.7376956598746,,failure:maximum_slip_ratio;failure:maximum_tire_utilization;failure:route_not_completed;map:ramp_6;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-65a3b2f01701d6ab,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-65a3b2f01701d6ab__RoadC__five_axis.npz,65a3b2f01701d6abb7846340512658fb4839956b6d35599d2235ba197cdc3181,4710616,five_axis_explicit,five_axis,explicit_profile_id,five_axis,,449,RoadC,labeled,0,"[""closed_loop_heightmap_footprint"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,five_axis_generator_builds,892ce21627ca002074c21d1d0301cd88974c70195d2fbeb7c6b57e5f9cde2b2e,verified_hash_only_not_uploaded,48343,9707.486021792927,,failure:closed_loop_heightmap_footprint;failure:maximum_tire_utilization;map:RoadC;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-e5a441095d278e57,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-e5a441095d278e57__turnaround_1__five_axis.npz,e5a441095d278e574c36c004fa0dc3f54d63ba10ada39f59384742d4d04b1fe9,181843,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,turnaround_1,labeled,0,"[""closed_loop_heightmap_footprint"", ""stalled::""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,bc3883a635ccd0a42b54660eed5ac84e40bb1e2bf463890cedbe7613e5632732,verified_hash_only_not_uploaded,2035,245.63167213184568,,failure:closed_loop_heightmap_footprint;failure:stalled::;map:turnaround_1;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-ed82f3f5dcfaac0b,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-ed82f3f5dcfaac0b__turnaround_2__six_axis.npz,ed82f3f5dcfaac0baac8ba7ea922c171d4094de3b40c27341fc2a52aab612668,94214,six_axis_structural,six_axis,steer_vector_dimension,,,0,turnaround_2,labeled,0,"[""closed_loop_heightmap_footprint"", ""closed_loop_pcd_clearance"", ""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,_runs,d51682acff38ab46476d0071600a38740259e134d2e63f0b726d8a8a5cb0daa9,verified_hash_only_not_uploaded,1934,386.52574143911147,,failure:closed_loop_heightmap_footprint;failure:closed_loop_pcd_clearance;failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:turnaround_2;status:confirmed_new_labeled;structure:six_axis_structural
PG-SHANYU000-a2c28197723f0ec6,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-a2c28197723f0ec6__turnaround_4__six_axis.npz,a2c28197723f0ec6a4cb2769551525e127a4e1c104bbefc109c876b4adddc1bd,315693,six_axis_explicit,six_axis,explicit_profile_id,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,1,turnaround_4,labeled,0,"[""closed_loop_pcd_clearance"", ""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,six_axis_generator,66677051b70632d821e2e54719fa25934c375e280fa4c4525196a6c3849d5b75,verified_hash_only_not_uploaded,1761,350.825475295513,,failure:closed_loop_pcd_clearance;failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:turnaround_4;status:confirmed_new_labeled;structure:six_axis_explicit
